[Tue Aug 01 18:37:33.147193 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Attach interpreter ''.
[Tue Aug 01 18:37:46.171626 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Shutdown requested 'LAMPDots'.
[Tue Aug 01 18:37:46.180998 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Stopping process 'LAMPDots'.
[Tue Aug 01 18:37:46.181493 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Destroying interpreters.
[Tue Aug 01 18:37:46.181597 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Cleanup interpreter ''.
[Tue Aug 01 18:37:46.183362 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Terminating Python.
[Tue Aug 01 18:37:46.185074 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Python has shutdown.
[Tue Aug 01 18:37:47.259377 2017] [:info] [pid 10040:tid 140361673566080] mod_wsgi (pid=10040): Attach interpreter ''.
[Tue Aug 01 18:39:37.966225 2017] [authz_core:debug] [pid 10041:tid 140361410246400] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:37.967036 2017] [authz_core:debug] [pid 10041:tid 140361410246400] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:37.967130 2017] [authz_core:debug] [pid 10041:tid 140361410246400] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.284529 2017] [authz_core:debug] [pid 10041:tid 140361477388032] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.284642 2017] [authz_core:debug] [pid 10041:tid 140361477388032] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.285357 2017] [authz_core:debug] [pid 10041:tid 140361477388032] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.285434 2017] [authz_core:debug] [pid 10041:tid 140361477388032] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.564737 2017] [authz_core:debug] [pid 10041:tid 140361401853696] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.564847 2017] [authz_core:debug] [pid 10041:tid 140361401853696] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.565757 2017] [authz_core:debug] [pid 10041:tid 140361401853696] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.565857 2017] [authz_core:debug] [pid 10041:tid 140361401853696] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.819920 2017] [authz_core:debug] [pid 10041:tid 140361393460992] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.820029 2017] [authz_core:debug] [pid 10041:tid 140361393460992] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.821001 2017] [authz_core:debug] [pid 10041:tid 140361393460992] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:38.821100 2017] [authz_core:debug] [pid 10041:tid 140361393460992] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.122458 2017] [authz_core:debug] [pid 10041:tid 140361385068288] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.122598 2017] [authz_core:debug] [pid 10041:tid 140361385068288] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.123392 2017] [authz_core:debug] [pid 10041:tid 140361385068288] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.123506 2017] [authz_core:debug] [pid 10041:tid 140361385068288] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.393166 2017] [authz_core:debug] [pid 10041:tid 140361376675584] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.393273 2017] [authz_core:debug] [pid 10041:tid 140361376675584] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.394026 2017] [authz_core:debug] [pid 10041:tid 140361376675584] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.394120 2017] [authz_core:debug] [pid 10041:tid 140361376675584] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.680816 2017] [authz_core:debug] [pid 10041:tid 140361368282880] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.680946 2017] [authz_core:debug] [pid 10041:tid 140361368282880] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.682097 2017] [authz_core:debug] [pid 10041:tid 140361368282880] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.682228 2017] [authz_core:debug] [pid 10041:tid 140361368282880] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.976024 2017] [authz_core:debug] [pid 10041:tid 140361359890176] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.976173 2017] [authz_core:debug] [pid 10041:tid 140361359890176] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.976948 2017] [authz_core:debug] [pid 10041:tid 140361359890176] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:39.977043 2017] [authz_core:debug] [pid 10041:tid 140361359890176] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:41.433936 2017] [authz_core:debug] [pid 10041:tid 140361351497472] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:41.434084 2017] [authz_core:debug] [pid 10041:tid 140361351497472] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
